StrideIndex,NormalizedTime,emg_vastusmedialis,emg_vastuslateralis,emg_rectusfemoris,emg_bicepsfemoris,emg_semitendinosus,emg_gracilis,imu_thigh_Accel_X,imu_thigh_Accel_Y,imu_thigh_Accel_Z,imu_thigh_Gyro_X,imu_thigh_Gyro_Y,imu_thigh_Gyro_Z,gon_knee_sagittal,ankle_sagittal
1,72,0.05921112,0.01552229,0.02074257,0.02356344,-0.0013775,0.59724355,-0.5723329,-0.5626085,-0.3991788,-2.1250165,-1.3559689,3.29239277,-58.195866,4.18899974
1,73,0.05582708,0.01628196,0.07036365,0.0171799,-0.0159285,0.45507925,-0.4129098,-0.5976655,-0.404005,-2.1674781,-1.3469207,2.8838111,-56.857408,4.71313152
1,74,0.05144201,0.01815702,0.12211176,0.01306647,-0.0259764,0.32722162,-0.2797339,-0.6274662,-0.4135153,-2.0996152,-1.4324671,2.50702753,-55.318361,5.01334115
1,75,0.04596836,0.02087982,0.17237584,0.01253118,-0.028467,0.22270415,-0.1636519,-0.6553763,-0.4337257,-1.9781849,-1.6526878,2.0422612,-53.508848,5.20745811
1,76,0.03947023,0.02417548,0.21865883,0.0170574,-0.0200177,0.15065536,-0.0655383,-0.6809522,-0.3938327,-1.7873412,-1.924722,1.43184095,-51.427891,5.32260486
1,77,0.03228709,0.0278642,0.25941848,0.0281826,0.00281804,0.11958943,-0.0058949,-0.6956935,-0.2891643,-1.2869829,-2.0329755,0.94794835,-49.158659,5.3082113
1,78,0.02514411,0.03197874,0.29386808,0.04733271,0.04318352,0.13651432,0.08069135,-0.6950401,-0.1333761,-0.2883117,-1.942597,0.77208283,-46.790802,5.17386633
1,79,0.01924422,0.03689266,0.32168551,0.07574155,0.10373561,0.20660991,0.18355715,-0.6887112,-0.0157261,0.80230975,-1.7707269,0.75990773,-44.367862,5.01487858
1,80,0.01630309,0.04342371,0.34290752,0.11417921,0.18604234,0.33183886,0.25316865,-0.6665359,0.074653,1.96525595,-1.3635432,0.86593021,-41.917029,4.89863059
1,81,0.01861711,0.05296418,0.35769424,0.16301782,0.29071361,0.51145736,0.26594344,-0.6326637,0.13863418,2.84765396,-0.7181795,1.09597305,-39.513331,4.82773044
1,82,0.02891327,0.06747718,0.3664885,0.22190397,0.41668356,0.74038212,0.16675214,-0.607325,0.24348462,3.43325502,-0.3640788,1.26266918,-37.220597,4.79488952
1,83,0.05040114,0.08959676,0.36998652,0.28996812,0.56163982,1.01030212,0.10699466,-0.5860908,0.27993059,3.73498982,-0.2986017,1.29796688,-35.057683,4.79773119
1,84,0.08644251,0.12245854,0.36944751,0.36567189,0.72167704,1.30896485,0.05450475,-0.5336867,0.29341224,3.77974195,-0.3665413,1.25254705,-32.912726,4.80525839
